2024-03-14 20:11:55,116 - Using device: cpu
2024-03-14 20:11:55,116 - 
Epoch: 2

2024-03-14 20:11:58,906 - Epoch [1/2], Step [138/600], Loss: 0.1390, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,927 - Epoch [1/2], Step [139/600], Loss: 0.1562, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,956 - Epoch [1/2], Step [140/600], Loss: 0.2004, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,983 - Epoch [1/2], Step [141/600], Loss: 0.1413, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,006 - Epoch [1/2], Step [142/600], Loss: 0.1789, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,026 - Epoch [1/2], Step [143/600], Loss: 0.2358, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:59,058 - Epoch [1/2], Step [144/600], Loss: 0.2145, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:59,083 - Epoch [1/2], Step [145/600], Loss: 0.3124, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,106 - Epoch [1/2], Step [146/600], Loss: 0.2117, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,137 - Epoch [1/2], Step [147/600], Loss: 0.2548, RAM Usage: 61.80%, CPU Usage: 3.10%
2024-03-14 20:11:59,157 - Epoch [1/2], Step [148/600], Loss: 0.2448, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,190 - Epoch [1/2], Step [149/600], Loss: 0.2266, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,215 - Epoch [1/2], Step [150/600], Loss: 0.1750, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,236 - Epoch [1/2], Step [151/600], Loss: 0.1438, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,267 - Epoch [1/2], Step [152/600], Loss: 0.2097, RAM Usage: 61.80%, CPU Usage: 2.90%
2024-03-14 20:11:59,287 - Epoch [1/2], Step [153/600], Loss: 0.2916, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,321 - Epoch [1/2], Step [154/600], Loss: 0.1605, RAM Usage: 61.80%, CPU Usage: 1.60%
2024-03-14 20:11:59,346 - Epoch [1/2], Step [155/600], Loss: 0.1545, RAM Usage: 61.80%, CPU Usage: 2.60%
2024-03-14 20:11:59,370 - Epoch [1/2], Step [156/600], Loss: 0.2090, RAM Usage: 61.80%, CPU Usage: 1.70%
2024-03-14 20:11:59,402 - Epoch [1/2], Step [157/600], Loss: 0.2714, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,426 - Epoch [1/2], Step [158/600], Loss: 0.2748, RAM Usage: 61.80%, CPU Usage: 1.60%
2024-03-14 20:11:59,457 - Epoch [1/2], Step [159/600], Loss: 0.2383, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,487 - Epoch [1/2], Step [160/600], Loss: 0.2920, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,516 - Epoch [1/2], Step [161/600], Loss: 0.2133, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,544 - Epoch [1/2], Step [162/600], Loss: 0.2519, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,573 - Epoch [1/2], Step [163/600], Loss: 0.1267, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:59,596 - Epoch [1/2], Step [164/600], Loss: 0.2019, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,628 - Epoch [1/2], Step [165/600], Loss: 0.2359, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,656 - Epoch [1/2], Step [166/600], Loss: 0.2280, RAM Usage: 61.80%, CPU Usage: 3.00%
2024-03-14 20:11:59,677 - Epoch [1/2], Step [167/600], Loss: 0.2630, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,706 - Epoch [1/2], Step [168/600], Loss: 0.1267, RAM Usage: 61.80%, CPU Usage: 1.60%
2024-03-14 20:11:59,737 - Epoch [1/2], Step [169/600], Loss: 0.2186, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,757 - Epoch [1/2], Step [170/600], Loss: 0.2700, RAM Usage: 61.80%, CPU Usage: 1.70%
2024-03-14 20:11:59,786 - Epoch [1/2], Step [171/600], Loss: 0.2080, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,807 - Epoch [1/2], Step [172/600], Loss: 0.2216, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,837 - Epoch [1/2], Step [173/600], Loss: 0.0606, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,862 - Epoch [1/2], Step [174/600], Loss: 0.1343, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,887 - Epoch [1/2], Step [175/600], Loss: 0.0816, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,907 - Epoch [1/2], Step [176/600], Loss: 0.2073, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,936 - Epoch [1/2], Step [177/600], Loss: 0.3821, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:11:59,964 - Epoch [1/2], Step [178/600], Loss: 0.2214, RAM Usage: 61.80%, CPU Usage: 1.60%
2024-03-14 20:11:59,986 - Epoch [1/2], Step [179/600], Loss: 0.2723, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,015 - Epoch [1/2], Step [180/600], Loss: 0.1326, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,043 - Epoch [1/2], Step [181/600], Loss: 0.1584, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,068 - Epoch [1/2], Step [182/600], Loss: 0.0990, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,086 - Epoch [1/2], Step [183/600], Loss: 0.2887, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,119 - Epoch [1/2], Step [184/600], Loss: 0.1771, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,146 - Epoch [1/2], Step [185/600], Loss: 0.1945, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,172 - Epoch [1/2], Step [186/600], Loss: 0.2209, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,196 - Epoch [1/2], Step [187/600], Loss: 0.1651, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,225 - Epoch [1/2], Step [188/600], Loss: 0.3080, RAM Usage: 61.80%, CPU Usage: 2.90%
